"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1284","Проверка переход по клику на «Конструктор»","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","1997","Проверка всплывающее окно закрывается кликом по крестику","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","1113","Проверка при добавлении ингредиента в заказ счётчик этого ингредиента увеличивается.","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","2044","Проверка всплывающее окно закрывается кликом по крестику","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","1381","Проверка кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","5439","Проверка при создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2025-11-13","passed","2025-11-13","TestOrderPage","test_order_page","",""
"","1341","Проверка при добавлении ингредиента в заказ счётчик этого ингредиента увеличивается.","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","9543","Проверка после оформления заказа его номер появляется в разделе «В работе».","tests","2025-11-13","passed","2025-11-13","TestOrderPage","test_order_page","",""
"","1550","Проверка переход по клику на раздел «Лента заказов»","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","1321","Проверка переход по клику на раздел «Лента заказов»","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","5912","Проверка при создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2025-11-13","passed","2025-11-13","TestOrderPage","test_order_page","",""
"","1310","Проверка переход по клику на «Конструктор»","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","6305","Проверка при создании нового заказа счётчик «Выполнено за сегодня» увеличивается;","tests","2025-11-13","passed","2025-11-13","TestOrderPage","test_order_page","",""
"","5334","Проверка при создании нового заказа счётчик «Выполнено за сегодня» увеличивается;","tests","2025-11-13","passed","2025-11-13","TestOrderPage","test_order_page","",""
"","1396","Проверка кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2025-11-13","passed","2025-11-13","TestHomePage","test_home_page","",""
"","9359","Проверка после оформления заказа его номер появляется в разделе «В работе».","tests","2025-11-13","passed","2025-11-13","TestOrderPage","test_order_page","",""
